X,Y,Z
235.88652000000002,2540.6038,11.5
238.98086,2540.6038,11.5
242.0752,2540.6038,11.5
245.16953999999998,2540.6038,11.5
248.26388,2540.6038,11.5
251.35822000000002,2540.6038,11.5
254.45256,2540.6038,11.5
257.5469,2540.6038,11.5
260.64124,2540.6038,11.5
263.73558,2540.6038,11.5
266.82992,2540.6038,11.5
269.92426,2540.6038,11.5
273.0186,2540.6038,11.5
276.11294,2540.6038,11.5
279.20727999999997,2540.6038,11.5
282.30161999999996,2540.6038,11.5
285.39596,2540.6038,11.5
288.4903,2540.6038,11.5
291.58464000000004,2540.6038,11.5
294.67898,2540.6038,11.5
297.77332,2540.6038,11.5
300.86766,2540.6038,11.5
303.962,2540.6038,11.5
307.05634,2540.6038,11.5
310.15067999999997,2540.6038,11.5
313.24502,2540.6038,11.5
316.33936,2540.6038,11.5
319.4337,2540.6038,11.5
322.52804000000003,2540.6038,11.5
325.62238,2540.6038,11.5
328.71672,2540.6038,11.5
331.81106,2540.6038,11.5
334.9054,2540.6038,11.5
337.99974,2540.6038,11.5
341.09407999999996,2540.6038,11.5
344.18842,2540.6038,11.5
347.28276,2540.6038,11.5
350.3771,2540.6038,11.5
353.47144000000003,2540.6038,11.5
356.56578,2540.6038,11.5
359.66012,2540.6038,11.5
362.75446,2540.6038,11.5
365.8488,2540.6038,11.5
368.94313999999997,2540.6038,11.5
372.03747999999996,2540.6038,11.5
375.13182,2540.6038,11.5
378.22616,2540.6038,11.5
381.3205,2540.6038,11.5
384.41484,2540.6038,11.5
387.50918,2540.6038,11.5
390.60352,2540.6038,11.5
393.69786,2540.6038,11.5
396.7922,2540.6038,11.5
399.88653999999997,2540.6038,11.5
402.98087999999996,2540.6038,11.5
406.07522,2540.6038,11.5
409.16956,2540.6038,11.5
412.2639,2540.6038,11.5
415.35823999999997,2540.6038,11.5
418.45258,2540.6038,11.5
421.54692,2540.6038,11.5
424.64126,2540.6038,11.5
427.7356,2540.6038,11.5
430.82993999999997,2540.6038,11.5
433.92428,2540.6038,11.5
437.01862,2540.6038,11.5
440.11296,2540.6038,11.5
443.2073,2540.6038,11.5
446.30164,2540.6038,11.5
449.39598,2540.6038,11.5
452.49032,2540.6038,11.5
455.58466,2540.6038,11.5
458.679,2540.6038,11.5
149.245,2543.9707,11.5
152.33934,2543.9707,11.5
155.43368,2543.9707,11.5
158.52802,2543.9707,11.5
161.62236000000001,2543.9707,11.5
164.7167,2543.9707,11.5
167.81104,2543.9707,11.5
170.90538,2543.9707,11.5
173.99972,2543.9707,11.5
177.09406,2543.9707,11.5
180.1884,2543.9707,11.5
183.28274,2543.9707,11.5
186.37708,2543.9707,11.5
189.47142,2543.9707,11.5
192.56576,2543.9707,11.5
195.6601,2543.9707,11.5
198.75444,2543.9707,11.5
201.84878,2543.9707,11.5
204.94312,2543.9707,11.5
208.03746,2543.9707,11.5
211.1318,2543.9707,11.5
214.22614,2543.9707,11.5
217.32048,2543.9707,11.5
220.41482000000002,2543.9707,11.5
223.50916,2543.9707,11.5
226.6035,2543.9707,11.5
229.69783999999999,2543.9707,11.5
232.79218,2543.9707,11.5
235.88652000000002,2543.9707,11.5
238.98086,2543.9707,11.5
242.0752,2543.9707,11.5
245.16953999999998,2543.9707,11.5
248.26388,2543.9707,11.5
251.35822000000002,2543.9707,11.5
254.45256,2543.9707,11.5
257.5469,2543.9707,11.5
260.64124,2543.9707,11.5
